,coin_name,symbol,description,total_coin_supply,algorithm,proof,start_date,total_coins_mined,exchanges
628,Nxt,NXT,"Nxt is considered a 2nd generation crypto currency. With all the alt coins that alter parametes such as hashing mechanism, time between blocks, starting difficulty, and so on, Nxt brings much much more to the table and was designed this way for a number of reasons. It&#39;s proof of stake model makes it less susceptible to 51% attacks whilst it is designed to support large transaction volumes, something which the traditional Bitcoin and its clones have as a potential flaw. Nxt allows the creation and exchange of custom tokens, coloured coins and assets on the Blockchain.In 2016, the NXT team announced the launch of Ardor, the Nxt 2.0. The platform will allow users the same features as Nxt and additional tools like sidechain support for asset issuance and more. The destribution of the ARDR token was done through a snapshot process, which is the reason for the price spike during late 2016.",1000000000,PoS,PoS/LPoS,24/11/2013,998999942.0,"CCEX, Cryptsy, CCEDK, BTER, Poloniex, LiveCoin, HitBTC, BitTrex, BTC38, BitSquare, Jubi"
629,EverGreenCoin,EGC,"EverGreenCoin is a currency designed from the ground up not only to be an environmentally friendly currency but, an environmental movement and paradigm shift. With both the electrically and computationally efficient and secure algorithm of X15 Proof of Work and it&#39;s generously rewarding 7% Proof of Stake the foundation has been set. On top of that foundation we leverage renewable energy in ways our planet has never seen.EverGreenCoin is turning the mining and crypto currency industry on its head. From an industry that wastes electricity in the grandest scale, and in-turn our planet&#39;s finite precious resources lost forever to produce that electricity, to a profitable and prosperous endeavor for both our planet and it&#39;s people. Back-feeding the grid it had once robed. Then those profits are invested into the environment through environmental restoration projects such as forestry and wildlife rehabilitation. EverGreenCoin will make both our planet&#39;s environment and economy better than it was found.Coin added by @chopcoin Team",26298000,X15,PoW/PoS,01/12/2015,13501270.59926767,"Cryptopia, Yobit, CCEX, BitTrex"
630,ApexCoin,APEX,"ApexCoin is an X13 based altcoin that is both Proof of Work and Proof of Stake. The PoW ends after block 30000, or 15 days. The block time is 60 seconds.",6000000,X13,PoW/PoS,11/07/2014,0.0,"Cryptsy, BitTrex"
631,QLINK,QLC,"Qlink will use the blockchain technology to provide a decentralized mobile network, which will extend network coverage and reduce the cost of telecom infrastructures. By leveraging the blockchain technology, Qlink plans to apply digital identities to telecom assets and records the usage footprint of each asset to a distributed ledger. Furthermore, the Qlink team aims to launch applications to allow peer-to-peer sharing of assets, including Wi-Fi, mobile data access, and entreprise-to-peer SMS.Qlink token (QLC) is an NEO-based token that will be used as the medium of exchange on the network.",600000000,,,12/11/2017,,Kucoin
632,PostCoin,POST, Postcoin is the official cryptocrurrency of the Altcoinboard forum. The forum allows you to earn tokens for every post you make and then exchange them in the forum&#39;s Exchange Center for POST coins. ,15081003,,PoS,17/03/2016,15868233.0,"Novaexchange, LiveCoin, Cryptopia, BitSquare, Yobit, WavesDEX"
633,JackPotCoin,JPC,JackpotCoin (JPC) is a coin thats premiss is superblocks that will on average appear every three and a half days - the payout grows from 10x to 100x at day 3.5 - and from day 3.5 to day 7 the block reward will increase 1000x. After this point the block reward probability will be increased if there has been no triggering. The block payout is reduced by 10% each week and the minimum payout will 1 coin per block - reached after just over two years. The block time is set to 120 seconds per block and the difficulty retargets per block. The Jackpot hashing algorithm is based on the SHA-3 algorithm. There was a 1% premine.,0,SHA3,PoW/PoS,25/04/2014,,
634,ZoomCoin,ZOOM,ZoomCoin is an ASIC resistant cryptocurrency that can be used to make anonymous and fast transactions.,250000,Lyra2RE,PoW,13/06/2015,,Yobit
635,FlavorCoin,FLVR,"FLVR is a PoW/PoS hybrid cryptocurrency and it&#39;s a music driven project. 2FLAV is the second version of FlavorCoin, the previous version was swaped for the 9% premine. ",,SHA256,PoW/PoS,01/06/2016,20898106.0,"Novaexchange, Yobit"
636,Digital Assets Power Play,DPP,"The Digital Assets Power Play platform aims to enable the digital asset trading automation. The platform is organized around different stakeholders, wallets, and distributed compute nodes. Furthermore, the DA Power play team plans to provide a digital asset management, and an algorithm execution.The Digital Assets Power Play token (DPP) is an ERC-20 token that will allow users to access the platform tools and services. ",100000000,,,04/09/2017,100000000.0,Cryptopia
637,GSM Coin,GSM,GSM coin is a phone unlocking service based on an X11 crypto currency that is both proof of stake and proof of work. The proof of stake rate is set to an annual 10%.,1800000,X11,PoW/PoS,22/02/2015,,"Yobit, CCEX, BitTrex"
638,Bitz Coin,BITZ,BitzCoin does not have much information available. The coin is Proof of Stake.,0,,PoS,13/02/2015,0.0,"CCEX, Yobit, Cryptopia, BitTrex"
639,GIZMOcoin,GIZ,GIZMOcoin is a decentralized cryptocurrency that favors coin holders and miners with a PoW/PoS hybrid algorithm. GIZMO provides fast and cheap transactions to anyone in the globe. ,100000,X11,PoW/PoS,23/02/2016,0.0,"Yobit, CCEX, BitTrex"
640,Guppy,GUP,"Matchpool is a decentralized matchmaking protocol which uses group dynamics to help participants match with each other. Matchpool users are divided into two catagories – Joiners &amp; Hosts. Joiners who wish to enter a pool of their choice, will have to pay the pool&#39;s requisite entry fee, while host will be the one who opens a custom Pool and gets dividends from its revenues.All payments in Matchpool will be held in an Ether based smart contract and will be processed using Matchpool&#39;s network own token Guppies (GUP). Both the Host of the pool and its matchmakers are entitled to shares of the Pools subscription and monthly fees, paid with GUP.",100000000,,,14/01/2017,98855149.62,"Liqui, EtherDelta, Yobit, HitBTC, BitTrex, LiveCoin, Gatecoin"
641,Orocrypt,OROC,"Indirect precious metals investments can be held in gold, platinum or silver ETF shares. Orocrypt aims to provide an alternative to the above by offering a method of recording precious metals ownership. ",​1112000,,,19/05/2017,,
642,Mutual Coin,MUT,Mutual Coin is a hybrid PoW/PoS cryptocurrency based on Scrypt algorithm.,1000000000,Scrypt,PoW/PoS,01/11/2017,,
643,Wish Finance,WSH,"Wish Finance is a smart blockchain lender serving SMEs and fighting to solve a problem in a vast global market.By leveraging a unique set of technologies - big data, neural networks, and blockchain - together with lean business processes, Wish Finance can address this cocktail of pain points. Wish finance connects to businesses’ point-of-sale (POS) infrastructure to use real-time data for scoring, risk control, and automatic loan repayment.",30000000,,,02/10/2017,30000000.0,
644,TrashBurn,TBCX,"Trash&amp;Burn (TBC/TXB) is a digital currency which uses encryption to regulate the generation of coins and verify the transfer of funds, operating independently of a central bank. Trash&amp;Burn (TBC/TXB) is a coin made for people that want to innovate with people that want to innovate.",9000000,SHA256D,PoS,11/03/2016,,Yobit
645,Maker,MKR,"Maker DAO is a decentralized autonomous organization on the Ethereum blockchain seeking to minimize the price volatility of its own stable token Dai against the IMF’s currency basket SDR. It&#39;s token, MKR is a speculative Ethereum based asset that backs the value of the dai, a stable price stable coin issued on Ethereum. Maker earns a continuous fee on all outstanding dai in return for governing the system and taking on the risk of bailouts. Maker’s income is funnelled to MKR owners through BuyBack program (Buy&amp;Burn).",1000000,,,01/01/0001,1000000.0,"Gateio, EtherDelta, Novaexchange"
646,ChessCoin,CHESS,"ChessCoin is a PoW&amp;PoS hybrid cryptocurrency, in which the Proof of Work stage ended before the launch, therefore CHESS can be considered 100% Proof of Stake. ChessCoin was designed  to be used as a reward for winning online chess competitions, but can be used as a currency and sent anywhere almost instantly.",74666667,Scrypt,PoW/PoS,05/06/2016,62990562.01890477,"Novaexchange, Yobit, Cryptopia"
647,Kraken,KRAK,"Kraken is a Proof of Work and Proof of Stake cryptocurrency with the same hashing algorithm as Bitcoin, SHA-256. Users can send and recieve Kraken freely and almost intantly.",20 000 000,SHA256,PoW/PoS,02/05/2015,,Yobit
648,Media Network Coin,MNT*,"Based on an existing alpha product, CoinJoker, the Media Network Token aims to solve some of the most serious issues in the existing quality of content on the market. The Media Network Token(MNT) is an ERC20 token based on the Ethereum blockchain. These tokens will enable writers to build content of superior quality and receive tokens for their contributions.",125000000,,,01/01/0001,,
649,Ultimate Secure Cash,USC,"Ultimate Secure Cash is a Proof of Stake cryptocurrency using the same algorithm as Bitcoin, SHA256.",200084200,SHA256,PoS,09/04/2017,10343113.0,"Novaexchange, Yobit"
650,DarkShibe,DSB,DarkShibe is another crypto currency like Darkcoin - that takes the Dogecoin and Darkcoin elements and fuses them together. The coin is scrypt based and initially operates a proof of work phase that then shifts to a pure proof of stake with an annualised rate at 9%. You can trade DarkShibe for Bitcoin on the exchanges below.,2043962,Scrypt,PoW,23/10/2014,0.0,Cryptsy
651,X11 Coin,XC,"X11 or Xcurrency, is a solid x11 algorithm coin. Total coins sheduled to be produced in the PoW phase is 5.5million. The PoS has a 3.3% annualised inflation limit. Block time is 90 seconds and there was a premine of 100,000 XC. Another positive is the roadmap and dev team&#39;s dedication and experience. Future developments include increasing the UX experience, adding mobile anonymous wallets and payment cards - to drive through real world adoption. ",5500000,X11,PoW/PoS,08/06/2014,6126288.5534059,"Novaexchange, Cryptsy, BitTrex, Poloniex, BTER"
652,Sugar Exchange,SGR,Sugar Exchange is a cryptocurrency trading platform. Sugar tokens (SGRs) is an Ethereum-based ERC20 token that can be used to pay trading fees and will provide users a discount as compared to paying with Bitcoin (BTC) or Ether (ETH). ,80000000,,,10/11/2017,,EtherDelta
653,ReddCoin,RDD,ReddCoin is trying to jump on the tipping bandwagon by making itself the social network donation go to default. A Scrypt coin with a 60 second block time and block retargeting using kimoto&#39;s gravity well. The coin also includes a 5% annual inflation after the 27.5 billion have been mined by PoW. Alongside Reddcoin inludes an innovative proof of stake velocity algorithm.,27500000000,Scrypt,PoW/PoS,02/02/2014,28732561033.0,"Cryptsy, Novaexchange, Cryptopia, Poloniex, Bleutrade, Yobit, BitSquare, BitTrex"
654,Rublebit,RUBIT,RubleBit is a Proof of Work cryptocurrency intended to trade in the global Internet. The development team will promote RubleBit to the masses via the internet shops. ,100000000,Scrypt,PoW,10/11/2015,,"Novaexchange, Yobit"
655,Cryptonite,XCN,Cryptonite was developed by the Mini-blockchain Project over a period of almost four months. Cryptonite is a fork of the Bitcoin core but the code has been extensively modified and expanded upon.,1840000000,M7 POW,PoW,12/06/2014,387523209.0,"BTC38, Novaexchange, BTER, BXinth, Poloniex"
656,KATZcoin,KAT,KATZcoin is a Proof of Work/Hi-Proof of Stake Hybrid that allows users to earn up to 50% monthly interest on their holdings. KAT uses Sha256D as an encryption algorithm.,100000000,SHA256D,PoW/PoS,03/01/2016,0.0,Yobit
657,Zurcoin,ZUR,Zurcoin is a Proof of Work cryptocurrency based on Quarkcoin and Bitcoin. ZUR uses the Quark hashing algorithm and has a 42 second block time.,126000000,Quark,PoW,30/12/2013,87653034.0003,"Yobit, Novaexchange"
658,Zero,ZER,"Zero is fork of Zcash (Zcash is fork of Bitcoin). It has the security of Bitcoin, the privacy of Zcash and few other improvements. Zero includes the best privacy and anonymity technology available today. The coin has no founders reward, no premine, no slow start and no block reward halving. The developers have also abandoned idea of mining on mobile devices and made the mining parameters harder. ",78948000,Equihash,PoW,19/02/2017,2455930.0,Cryptopia
659,E-CurrencyCoin,ECC*,"E-CurrencyCoin is a Proof of Work/Proof of Stake cryptocurrency, currently in the PoS stage. ECC is based on the popular Scrypt algorithm.",25000000000,Scrypt,PoW/PoS,20/03/2014,,
660,Kin,KIN,"Kin is a decentralized ecosystem composed of a group of digital services launched by Kik. The Kin token is an Ethereum-based cryptocurrency that is to be used for daily online activites such as instant messaging, social media, tipping and payments within the Kin Ecosystem . The Kin token will will also serve as the basis of interchangeability with other digital services.",10000000000000,,,25/05/2017,10000000000000.0,EtherDelta
661,DarkTron,DRKT,DarkTron is a fork of Positron aiming to focus on structural development with anonymity as a forefront concern. Anonymity is an important aspect to crypto currency and essential in times when security and privacy boundaries are being broken down. DarkTron aims to provide solutions in payment and communication.,1500000,SHA256,PoW/PoS,07/06/2015,,"CCEX, Yobit, BitTrex"
662,Pura,PURA,Pura is a PoW cryptocurrency based on the X11 algorithm,350000000,X11,PoW,28/08/2017,172559114.0,"CCEX, Cryptopia, Kucoin"
663,Lutetium Coin,LC,"Lutetium is a X11 Proof of Stake cryptocurrency that aims at creating a share-based mining concept, in which 100% premined supply is destributed across users who buy or recieve LC shares. ",657000000,X11,PoS,01/01/0001,657000000.0,"Yobit, CCEX"
664,Primalbase,PBT,"Primalbase, a co-working initiative, allows users to own real estate by holding the real estate-backed PBT crypto tokens, an asset on the Waves Platform. Holders of the PBT can use, rent or sell the workspace as they wish and get access to all shared workspaces around the world with premium all-inclusive services.",1250,,,24/05/2017,0.0,"WavesDEX, Tidex"
665,Mass Coin,MC,"The Mass Network is a blockchain based system in which users are rewarded for their attention and data. The Mass Network software shields users&#39; data and allows them to set a price they are willing to accept for revealing it, thus creating a free market for advertisers and consumers, in which the websites act as mediators. Mass Coin (MC) is the native currency in the Mass Network system.",1000000000000,,,02/12/2016,,
666,Coinmatic,CTIC,"Coinmatic is a PoS/PoW cryptocurrency based on th X11 algorithm. It was created as a means to ""help the crypto community with ease of buying and seeling of good and services"".",,,,01/01/0001,,"Novaexchange, Yobit"
667,Umbrella,ULTC,Umbrella coins and its alternatives are an attempt at insuring against exchange loss or wallet key loss. Otherwise the coin is made as a pair to the major crypto currency of each algorithm type. This is the SHA-256 version. ,2625000,SHA256,PoW,12/07/2014,0.0,"Poloniex, Cryptsy, BitTrex"
668,Swiscoin,SCN,"SwisCoin is Scrypt PoW/PoS created to be used by businesses for raising funds, tracking share ownership and distributing dividends in an automated fashion. ",3100000000,Scrypt,PoW/PoW,03/02/2016,665200057.0,"CCEX, Cryptopia"
669,Zennies,ZENI,Zennies are a Proof of Stake cryptocurrency using the Scrypt algorithm. Zeni or Kozeni is the Japanese word for coins or small change.,1000000000,Scrypt,PoS,22/03/2017,,"Novaexchange, CCEX, Yobit"
670,PenCoin,PEN,PenCoin is a Proof of Work cryptocurrency,,Scrypt,PoW,01/01/0001,,"Yobit, CCEX, BitTrex"
671,Nas2Coin,NAS2,"NAS2 is a new cryptocurrency, issued in February 2016, is based on the old NasCoin. There was an issue during maintenance with NasCoin and all the coins were lost. The new NAS2Coin will have a reduced max coins from 10 billion to 200 million. Old NasCoin wallet balances will be replaced, in proportion of 50 to 1, by the a new Nas2Coin. The full conversion is expected to be completed by April 1, 2016 and after that the balances that have failed to be redeemed will be used as development and maintenance funds for Nas2Coin. A proportion of the un-redeemed coins will also be used by the Foundation in a marketing effort to promote  the new Nas2Coin. (We translated this from Chinese with google translate and tried to make sense of it)",200000000,,PoS,22/02/2016,,BTC38
672,RaiBlocks,XRB,"RaiBlocks is designed to be a low latency, high throughput cryptocurrency. It builds on an analogy from the electrical engineering discipline by equating network consensus to arbiters circuits. This gives RaiBlocks an established and well researched modeling basis for how the system comes to a distributed, egalitarian, and efficient conclusion. In the RaiBlocks system, each account in the system has a block chain that is controlled only by them, all chains are replicated to all peers in the network, removing block intervals, mining, transaction fees.",340282367,Blake2b,PoW,29/02/2016,133248289.0,"BitGrail, Kucoin, Cryptopia"
673,TDFB,TDFB,"TDFB, which stands for  Tricky Dick Fun Bills, is a PoW/PoS cryptocurrency that aims to make a statement regarding the real value of fiat currencies. According to the developers, anyone can choose to use and transfer TDFB, making it as worthy as fiat currencies like the USD, which have nothing backing them since the gold standard ended.",,SHA256D,PoW/PoS,01/01/0001,,Yobit
674,StorjCoin,SJCX,Storj is a decentralized cloud storage platform based on Bitcoin&#39;s blockchain technology where anyone can sell their extra hard drive space.,500000000,Counterparty,PoS,18/07/2014,51173144.0,"Zaif, Poloniex, BitTrex"
675,BitBoost,BBT,"BitBoost is launching an application «The Block», which is a decentralized e-commerce platform based on the Ethereum blockchain&#39;s smart contracts protocol. All transactions within The Block will take place in ether (ETH). BBT is an Ethereum-based ERC20 token that allows users to list items on The Block marketplace.",100000000,,,21/03/2017,50000000.0,"EtherDelta, Yobit"
676,NefariousCoin,NEF,NefariousCoin is a Proof of Work/Proof of Stake cryptocurrency based on the Scrypt hashing algorithm. It has a 500 second blocktime. ,4835000000,Scrypt,PoW/PoS,03/03/2017,,Yobit
677,Bread token,BRD,"Bread token is an ERC20 token, featuring a user friendly mobile app.",88862718,,,01/12/2017,88862718.0,Binance
678,FantomCoin ,FCN,FantomNightCoin (FCN) is a CryptoNight algorithm based coin which is a 64-bit CPU only mineable coin. There is a block time of sixty seconds and the block reward is controlled by a formula that decreases depending on the supply mined to date. The coin retargets every block.,18400000,CryptoNight,PoW,07/05/2014,6849488.2240347965,"Cryptopia, HitBTC"
679,Mass.Cloud,MASS,"The Mass.Cloud system allows users to earn interest from PoS and Masternode cryptocurrencies without being exposed to the volatility of one single coin. Mass.Cloud hosts a selection PoS nodes and masternodes and distributes the profits made in Ether through MASS token holders, according to the number of tokens held. MASS is an ERC20 Ethereum token.",,,,12/07/2017,1.3e+25,
680,8BIT Coin,8BIT,8BIT Coin is a proof of stake and proof of work hybrid with the proof of work phase halting after block 1888. The coin then operates through proof of stake with an 8% annualised rate.,0,Scrypt,PoW/PoS,17/04/2015,1467841.0,"Yobit, Cryptopia, Cryptsy, CCEX, BitTrex"
681,DigiCube,CUBE,DigiCube&#39;s core feature is it&#39;s inflation control system that allows users to profit from highstaking rates while maintaing GUBE&#39;s value. DigiCube offers a FreeStaking platform that shows real-time coin market info as well as aarbitrage oppurtunities,,,PoS,12/03/2016,,"Cryptopia, BitTrex, CCEX"
682,Global Jobcoin,GJC,"Global Jobcoin is a cryptocurrency created to pay for services related to employment &amp; integrated into international Job platforms of Jobstoday, one of the leading Job platforms in Switzerland, Germany, Poland &amp; Austria. Clients can hire &amp; pay for Freelancer services on the Jobstoday platform, being protected by Smart Contract technology. GJC is an ERC20 token based on the Ethereum blockchain.",100000000,,,28/10/2017,,
683,YAYcoin,YAY,YAYcoin is Proof of Work/Proof of Stake cryptocurrency based on the popular Scrypt algorithm. It has a high APY of 100% in staking rewards.,,Scrypt,PoW/PoS,07/07/2016,,Yobit
684,Handelion,HION,"Handelion is a blockchain ecosystem for co-funded trade. On the Handelion platform, investors fund small and medium enterprises to buy goods from manufacturers, - buyers get financial leverage, - manufacturers sell goods with full prepayment, - logistics companies receive payments promptly and efficiently use the infrastructure. The HION token is an ERC20 token based on the Ethereum blockchain. It allows users to receive a commission for use of funds in trading deals and to receive a part of commissions generated by Handelion",29750000,,,15/12/2017,29749999.999999996,
685,BitQuark,BTQ,"BitQuark is the result of merging Bitcoin with the super secure hashing power of Quarkcoin. BitQuark uses Bitcoin&#39;s distribution method with the addition of 0.5% annual inflationary after the initial 21,000,000 BitQuark&#39;s have been mined. It uses the super secure &#39;quark&#39; algorithm made up of 9 rounds of hashing from 6 hashing functions (blake, bmw, grøstl, JH, keccak, skein). 3 rounds apply a random hashing function. BTQ has a block time of 30 seconds and block rewards of 2.5 BTQ per block. The block rewards will never fall below 0.1 BTQ. Retargeting every block via DarkGravityWave3 and halving every 4 years. BTQ is CPU/GPU mined and ASIC resistant, so anyone can mine it without the need of running expensive high-end hardware. ",0,Multiple,PoW,16/09/2014,,"CCEX, BTER"
686,Universa,UTN,"Universa is a blockchain cryptoprotocol with an emphasis on tokenization and contractual agreements. It uses a contract execution machine and a distributed state ledger.The Universa Nodes primary function is to execute contracts and verify state. In Universa, permission to create new blocks comes from participation as a licensed node. Therefore, rather than waiting for a new block to be mined, a state change can occur at any time, verified by a trusted player, and approved by consensus. Each separate contract maintains its own chain of state (Smart Contract Chain - C-chain), so a contract can perform actions asynchronously without blocking or affecting other contracts, and the combined changes of state collectively form a directed acyclical graph (“DAG”) that makes up the blockchain itself.UTN is the token powering Universa&#39;s ecosystem. Execution of Smart Contract actions requires transaction fees paid in UTN to reward participating nodes. Universa holds the right to “burn” up to 1% of the fees retained by the platform daily.",,,,31/08/2017,,
687,WarCoin,WRC*,WarCoin is a Proof of Work/Proof of Stake cryptocurrency based on the X11 algorithm. It has a 5% APY in staking rewards and a ~64s block time.,11666667,Scrypt,PoW/PoS,01/01/0001,,Cryptopia
688,KoboCoin,KOBO,"Kobocoin is a digital currency and payment system similar to Bitcoin, with an African heritage. All nodes verify transactions in a public distributed ledger calledthe blockchain. The ledger uses its own unit of account, also called KoboCoin(s). KOBO can be sent to anyone in the world for small fees and almost instantly and can also be used for Micropayments.",350000000,X15,PoW/PoS,11/09/2014,24906550.16565517,"Cryptopia, Novaexchange, Yobit, BitTrex, CCEX"
689,Droidz,DRZ,Droidz (DRZ) is an alternative crypto currency that runs off the QuBit algorithm via Proof of Work and Proof of Stake. The proof of stake rate is 5% and the total coin supply ois c.5060000. ,5060000,QUAIT,PoW/PoS,14/04/2015,8389801.63305577,"CCEX, Yobit, BitTrex"
690,MiloCoin,MILO,"MiloCoin is a PoW/PoS Hybrid based on the Scrypt algorithm, created to support Milo Yiannopoulos and to promote free speech. ",,Scrypt,PoW/PoS,13/03/2017,,"Yobit, Novaexchange"
691,SSVCoin,SSV,"SSV is an X13 pure proof of work alternative crypto currency with a reducing block reward until a height of 500,000 where the reward becomes flat at 13 coins.",21000000,X13,PoW,22/07/2014,,Cryptsy
692,ToTheMoon,TMT,"ToTheMoon is a full-service mining solution provider. ToTheMoon offers turnkey mining services or custom packages tailored to clients’ needs: full range of mining services from hosting, maintenance and repair to private blockchain servicing. The Partner offers equipment sales through ToTheMoon’s web site.The MTX is an Ethereum-based token that allows users to interact with the platform. Bounties are paid in MTX on the platform.",51750000,,,05/09/2017,,
693,Gambit coin,GAM,"Gambit Crypto is a Scrypt coin that was crowd funded and ran with proof of work before switching to proof of stake.Gambit is an experimental trading token that combines cryptocurrency trading, hedging, and asset acquisitions.",0,Scrypt,PoW/PoS,05/05/2015,1200279.34882794,"CCEX, BitTrex"
694,Ellaism,ELLA,Ellaism is a PoW cryptocurrency based on the Ethash algorithm,280000000,Ethash,PoW,11/09/2017,4232090.0,Cryptopia
695,Obscurebay,OBS,Obscruebay is a X11 cryptocurrency that offers fast and anonymous transactions.,6562000,X11,PoW/PoS,24/01/2016,,"CCEX, Yobit"
696,MIScoin,MIS,MIScoin stands for Mobile Intelligent System Coin. It&#39;s based on X11 algo and has both PoW/Pos stages. MIS gives a 5% APY rate in stake rewards,25000000,X11,PoW/PoS,03/02/2015,,Yobit
697,ZeitCoin,ZEIT,"Zeitcoin is a cryptocurrency that allows insant peer-to-peer payments to anyone, withou the oversight of any central authority. Zeitcoin is a charity and activism driven coin. ZEIT uses a sustainable PoS algorithm with dynamic staking rewards: 25% during the first year20% during the second year15% during the third year5% until all coins have been mined", 99000000000,PoS,PoS,28/02/2014,36971178719.900566,"Cryptopia, Yobit, Novaexchange, Cryptsy"
698,Motocoin,MOTO,"Motocoin is a cryptocurrency utilizing an innovative proof-of-play scheme where coins can only be mined by cognitive workload - playing a 2D motorbike simulation game, which is different from Bitcoin and other crypto-currencies that use a proof-of-work scheme where miners must perform difficult computations and then use proof of that work to secure coin transactions and get their reward. Motocoin was historically dominated by bots, but is currently testing a new security model that better enforces balanced play. ",40000000,,PoP,01/05/2014,31065438.85251312,"Yobit, Cryptopia, CCEX"
699,Samsara Coin,SMSR,Samsara Coin is a PoW/PoS cryptocurrency that uses the QuBit algorithm. Samsara Coin developers plan to create a succesful business around the coin in china that will be around for years to come,60000000,QuBit,PoW/PoS,16/06/2016,,Yobit
700,MartexCoin,MXT,MartexCoin is a Proof of Work/Proof of Stake cryptocurrency created by members of the Brasilian community. It&#39;s based on the X13 algorithm.,5000000,X13, PoW/PoS,01/01/0001,,Bleutrade
701,SpinCoin,SPC,"Spincoin, a fork of Talkcoin, was designed using the NIST5 hashing algorithm to provide a better combination of power efficiency and security compared to other existing algorithms. The coin is being delisted.",0,NIST5,PoW/PoS,03/05/2015,,"Yobit, CCEX"
702,Status Network Token,SNT,"Status is an open source messaging platform and mobile browser that allows users to interact with decentralized applications (dApps) that run on the Ethereum Network. In Status, users own and control their own data, wealth and digital identity. The Status Network Token (&#39;SNT&#39;) is an Ethereum-based token that is required to interact with the Status Network.",6804870175,,,20/06/2017,6804870174.878169,"Binance, Novaexchange, LiveCoin, HuobiPro, Gatecoin, Tidex, OKEX, Bitfinex, BitTrex, BTER, Gateio, Liqui, HitBTC, Kucoin, EtherDelta, Yunbi"
703,TekCoin,TEK,Tekcoin is an advanced cryptocurrency. Using the latest coding changes and features. Tekcoin supports transaction comments. Tekcoin is a proof of stake coin making it very resistant to 51% attacks. Tekcoin has implemented the latest code fixes for stake rounding. Tekcoin is Sha256 making it very efficient in terms of watts need to support the network. Tekcoin uses an advanced difficulty adjustment algorithm to prevent network stranding.,100000000,SHA256,PoW/PoS,07/09/2013,,"Novaexchange, Cryptopia, Yobit, Cryptsy"
704,NEO Gold,NEOG,NEO Gold is an ERC20 token.,100000000 ,,,01/11/2017,100000000.0,EtherDelta
705,Bitcoin Revolution,RBTC,Bitcoin Revolution is an ERC-20 token based on the Ethereum blockchain.,21000000,,,04/11/2017,21000000.0,
706,Cream,CRM,Cream is a Proof of Work/Proof of Stake cryptocurrency based on the X11 algorithm.,100000000,X11,PoW/PoS,01/07/2017,45006232.0,"Novaexchange, Cryptopia, Yobit"
707,GigCoin,GIG,"GigCoin was created by Julie Diaz-Asper and Ana Roca Castro – two mom entrepreneurs with a lot of experience hiring folks for gigs with big brands: community managers, survey participants, blog post contributors, designers, and SEO experts.",0,X11,PoW,07/11/2014,,"Yobit, CCEX"
708,Setcoin,SET,"The Inserviss Platform is a Global Mobile Marketplace that connects service providers and customers. It allows service providers to join, publish their services, offer promotions and loyalty campaigns, and get feedback from consumers. For consumers it enables a convenient way to order and book custom services using a streamlined and secure mobile application. Setcoin is a token based on the Waves Platform. It&#39;s used for payments between Service Providers &amp; Customers.",1000000000,,,01/01/0001,,
709,Creva Coin,CREVA,CrevaCoin is a Korean based Crypto currency with the backing of a shop. ,0,X11,,20/05/2015,36390750.0,"CCEX, Yobit, LiveCoin"
710,TrustCoin,TRST,"WeTrust is a collaborative lending and insurance platform built on the blockchain created as an alternative to traditional finance and provide community based form of credit scores, insurance, and banking. The first product being built at WeTrust is a Rotating Savings and Credit Association (ROSCA) platform running on a decentralized blockchain, Ethereum. WeTrust ROSCA allows users to save and issue credit as a group, at self-determined and fair interest rates.TrustCoin is an Ethereum-based token that is used to fuel operations within the WeTrust services, like its ROSCA platform and future products.",100000000,,,07/12/2016,100000000.0,"BitTrex, LiveCoin, EtherDelta, Liqui, HitBTC"
711,YbCoin,YBC,YB coin is a Chinese clone of YACcoin. It uses scrypt N+1 and ChaCha. The coin has a relatively low block time at 60 seconds but being a clone hasnt really brought much to the table in terms of innovation. Again like Yacoin there is a dynamically adjusted economic model related to the network power that balances the incentivisation to mine and use it depending on its popularity. An inverse relationship.,200000000,Multiple,,01/01/0001,,"BTC38, Yobit, BitTrex, Cryptsy"
712,Rockchain,ROK,"Rockchain is privacy-focused decentralized network for data processing. The blockchain is used for the transaction process, while a file distributed system network was created to safely store the sensitive data. Rockchain&#39;s platform is powered by an Ethereum-based token named ROK which can be used to purchase data within Rockchain&#39;s network.",100000000,,,07/09/2017,,
713,Trade.io,TIO,"Trade.io is a trading platform that will leverage the Ethereum blockchain to mitigate the fees and inefficiencies seen in the traditional asset trading markets. The platform enables trading of crypto assets and banking investment, later on, the team plan to offer trading of Forex and CFDs over precious metals, oil, commodities, to name just a few. Furthermore, the platform will enable users to list assets that can be traded for Trade.io tokens.Trade.io token (TIO) is a utility Ethereum-based token that will have several features. TIO will provide, a lower cost medium of exchange on trade.io, a membership key to the liquidity pool, and coupons enabling wallet participants to receive higher levels of benefits.",500000000,,,01/11/2017,,"OKEX, Gateio, Tidex, EtherDelta"
714,IXcoin,IXC,Ixcoin (IXC) is a fork of Bitcoin with twice the inflation rate of 96 Ixcoins per block and the same 21 million total limit. Ixcoin is intended to closely mirror code updates to Bitcoin to allow for easy interoperability with Bitcoin-related third party services and APIs. IXCoin can be merge mined with bitcoin.,21000000,SHA256,PoW,10/08/2011,20999087.999,"Yobit, Cryptopia, Cryptsy, Cexio"
